Key,Type,Desc,English

VAB/PartsPicker/0025-Station,Text,,Station

PartModules/Docking/Tooltip/Types/itdp,Text,,ITDP

Parts/Title/iss_pma1,Text,,PMA-1 "Rainbow"
Parts/Subtitle/iss_pma1,Text,,Pressurized Mating Adapter
Parts/Manufacturer/iss_pma1,Text,,Boeing – Huntington Beach
Parts/Description/iss_pma1,Text,,"PMA-1 is basically the space equivalent of a USB adapter, but instead of letting you connect your phone to a laptop, it lets spacecraft connect to the station. Think of it as the ultimate 'space plug-in' for cosmic commuters. Launched with the Unity module in 1998 aboard STS-88."

Parts/Title/iss_pma23,Text,,PMA-2/3 "Bullshead"
Parts/Subtitle/iss_pma23,Text,,Pressurized Mating Adapter
Parts/Manufacturer/iss_pma23,Text,,Boeing – Huntington Beach
Parts/Description/iss_pma23,Text,,"This adapter is used on the ISS to convert a CBM interface to an APAS-95 docking port. PMA-2 was launched with the Unity module in 1998 aboard STS-88. It was outfitted special hardware to allow the shuttles to stay docked longer. PMA-3 was launched in 2000 aboard STS-92."

Parts/Title/iss_apas-95,Text,,APAS-95 "Handshake"
Parts/Subtitle/iss_apas-95,Text,,Androgynous Peripheral Attach System
Parts/Manufacturer/iss_apas-95,Text,,RKK Energiya
Parts/Description/iss_apas-95,Text,,APAS-95 is an androgynous docking system used on the American and Russian modules on the ISS and to allow the Space Shuttle to dock.

Parts/Title/iss_cbm,Text,,CBM "Space Velcro"
Parts/Subtitle/iss_cbm,Text,,Common Berthing Mecanism
Parts/Manufacturer/iss_cbm,Text,,Boeing
Parts/Description/iss_cbm,Text,,"It's the ISS's secret weapon for connecting habitable modules in the US Orbital Segment. It's like the ultimate "stick-it-to-the-man" (or, in this case, the space station) solution."

Parts/Title/iss_unity,Text,,NODE-1 "Unity"
Parts/Subtitle/iss_unity,Text,,The main ISS node
Parts/Manufacturer/iss_unity,Text,,Boeing
Parts/Description/iss_unity,Text,,"Unity is the first U.S.-built component of the ISS, linking the laboratory's Russian Orbital Segment and US Orbital Segment. Unity was launched on 4 December 1998, aboard Space Shuttle Endeavour on STS-88."

Parts/Title/iss_zarya,Text,,FGB "Zarya"
Parts/Subtitle/iss_zarya,Text,,Functional Cargo Block
Parts/Manufacturer/iss_zarya,Text,,GKNPZ Khrounitchev
Parts/Description/iss_zarya,Text,,"Zarya, the original 'grandma' of the ISS, started out as the powerhouse, the brains, and the muscle of the station. But now, after years of hard work, she's basically the space version of an attic, filled with random stuff from the early days of space exploration."

Parts/Title/iss_zvezda,Text,,Zvezda
Parts/Subtitle/iss_zvezda,Text,,ISS Service Module
Parts/Manufacturer/iss_zvezda,Text,,RKK Energiya
Parts/Description/iss_zvezda,Text,,"Zvezda provides essential life support systems and offers a cozy home for two lucky kerbonauts. But don't be fooled by its laid-back exterior - Zvezda can be remotely controlled, so if it ever decides to start slacking off, the KSC can give it a virtual kick in the pants."

Parts/Title/iss_zvezda_solar_panel,Text,,SP-ZVZD "Watt's Up"
Parts/Subtitle/iss_zvezda_solar_panel,Text,,Zvezda Solar Panel
Parts/Manufacturer/iss_zvezda_solar_panel,Text,,RKK Energiya
Parts/Description/iss_zvezda_solar_panel,Text,,"Meet the solar panel that's seen more sunrises than a rooster. This retractable array is more interested in reminiscing about the glory days than tracking the sun. It's like a retired kerbonaut who's content to bask in the sunlight, occasionally muttering something about 'good old Comrade Sol'."

Parts/Title/iss_z1_truss,Text,,Z1 Truss "Zpinny"
Parts/Subtitle/iss_z1_truss,Text,,Z1 Truss Segment
Parts/Manufacturer/iss_z1_truss,Text,,Boeing
Parts/Description/iss_z1_truss,Text,,"The Z1 truss is the ISS's master of orientation, the king of control. It’s like the captain of a ship, always making sure everyone is headed in the right direction. With its gyroscopes and plasma pals, it's got the station spinning and twirling like a top, ensuring it's always facing the sun just right."

Parts/Title/iss_p6_truss,Text,,P6 Truss
Parts/Subtitle/iss_p6_truss,Text,,P6 Truss Segment
Parts/Manufacturer/iss_p6_truss,Text,,Boeing
Parts/Description/iss_p6_truss,Text,,"The P6 truss was the second truss segment to be added (after the Z1 truss) because it contains a large Solar Array Wing (SAW) that generated essential electricity for the station. It was delivered by Space Shuttle Endeavour during STS-97. It was the last human spaceflight of the 20th century."

Parts/Title/iss_eatcs_1x1,Text,,EATCS (x1)
Parts/Subtitle/iss_eatcs_1x1,Text,,External Active Thermal Control System
Parts/Manufacturer/iss_eatcs_1x1,Text,,Boeing
Parts/Description/iss_eatcs_1x1,Text,,"The ISS's a busy place, and what happens when all that activity heats things up? The station's radiators come in, space's biggest heat dump! They collect heat and reject it by use of pumped liquid state ammonia in closed-loop circuits to cool the station."

Parts/Title/iss_saw,Text,,SP-SAW "Supernovae"
Parts/Subtitle/iss_saw,Text,,Solar Array Wing
Parts/Manufacturer/iss_saw,Text,,Lockheed Martin
Parts/Description/iss_saw,Text,,"The ISS Solar Array Wings are so powerful, they could probably light up the entire galaxy if they weren't busy powering the International Space Station to keep the lights on and the coffee brewing."

Parts/Title/iss_destiny,Text,,OSL-35 "Destiny"
Parts/Subtitle/iss_destiny,Text,,Orbital research facility
Parts/Manufacturer/iss_destiny,Text,,Boeing
Parts/Description/iss_destiny,Text,,"The Destiny module is the primary operating facility for US research payloads aboard the ISS. This is where science gets a little... spacey."

Parts/Title/iss_itdp,Text,,ITDP "Tiny"
Parts/Subtitle/iss_itdp,Text,,ISS Technical Docking Port
Parts/Manufacturer/iss_itdp,Text,,Polo Kornel Inc.
Parts/Description/iss_itdp,Text,,"This is a hooking part to weld together two elements where kerbonauts are not intended to pass through, and thus where traditional docking ports should not be used. Not compatible with other docking ports."

Parts/Title/iss_ssrms,Text,,SSRMS "Canadarm2"
Parts/Subtitle/iss_ssrms,Text,,Space Station Remote Manipulator System
Parts/Manufacturer/iss_ssrms,Text,,MD Robotics
Parts/Description/iss_ssrms,Text,,"The robotic arm moves equipment and supplies around the station, supports kerbonauts working in space, and services instruments and other payloads attached to the ISS. Though capable of delicate repairs and heavy lifting, it still can't figure out how to unclog the station's toilet."

Parts/Title/iss_quest,Text,,41R-L0K "Quest"
Parts/Subtitle/iss_quest,Text,,Joint Airlock
Parts/Manufacturer/iss_quest,Text,,Boeing
Parts/Description/iss_quest,Text,,"Quest is the primary airlock for the ISS. It was designed to host spacewalks with both US and Russian space suits. The airlock was launched on STS-104 on July 14, 2001."

Parts/Title/iss_s0_truss,Text,,S0 Truss
Parts/Subtitle/iss_s0_truss,Text,,Center Integrated Truss Assembly Starboard 0 Truss
Parts/Manufacturer/iss_s0_truss,Text,,Boeing
Parts/Description/iss_s0_truss,Text,,"The S0 truss forms the central backbone of the Space Station. It was attached on the top of the Destiny Module during STS-110 in April 2002. S0 is used to route power to the pressurized station modules and conduct heat away from the modules to the S1 and P1 Trusses."

Parts/Title/iss_mtsas,Text,,MTSAS
Parts/Subtitle/iss_mtsas,Text,,Module-to-Truss Structure Attach System
Parts/Manufacturer/iss_mtsas,Text,,Boeing
Parts/Description/iss_mtsas,Text,,"The MTSAS is a crucial, permanent component on the ISS that connects the S0 truss segment to the Destiny lab. This structure must withstand dynamic loads, pressure, and thermal cycles throughout the station's lifespan."



Missions/Secondary/ISS01/Name,Text,,"ISS Mission 1: Zarya"
Missions/Secondary/ISS01/Description,Text,,"We embark on a truly historic endeavor, a mission that will mark the beginning of a new era in Kerbal space exploration. We are about to lay the foundation for the International Space Station, or ISS. When complete, it will be the largest space station ever constructed and will serve as a permanent research platform in low Kerbin orbit, a place where scientists from around the world can conduct experiments in microgravity and study the harsh environment of space.

Today, we begin construction with the launch of its inaugural component: Zarya. Meaning “Dawn”, Zarya will serve as the ISS’s primary source of power, propulsion, and guidance.

This is a momentous occasion, Director. We are not just launching a module; we are launching a dream. A dream of a permanent Kerbal presence in space, a dream of international cooperation, a dream of a future where Kerbals can live and work among the stars."
Missions/Secondary/ISS01/Objective,Text,,"Place the Zarya module in orbit around Kerbin with an altitude between 180 km and 200 km and an inclination of 51°, with no crew."

Missions/Secondary/ISS01/Debrief01,Text,,"Zarya is in orbit! I was worried for a moment there. The rocket was making some interesting noises during ascent. Sounded like Jeb was trying to play the bagpipes inside the fuel tank."
Missions/Secondary/ISS01/Debrief02,Text,,"This is a momentous occasion, Director. We have taken the first step on a journey that will lead to the construction of a permanent Kerbal presence in low orbit. This is just the beginning. We have many more modules to launch, many more experiments to conduct, many more dreams to fulfill. But today, we celebrate this milestone."
Missions/Secondary/ISS01/Debrief03,Text,,"Zarya, the 'Dawn' module. Perfect name! Because now it’s the dawn of me having to manage even more paperwork. Thanks, Zarya."




Missions/Secondary/ISS02/Name,Text,,"ISS Mission 2: Unity"
Missions/Secondary/ISS02/Description,Text,,"We’re ready to take the next step in the construction of the ISS. Today, we’re launching Unity, the second module, and docking it with Zarya. Unity is a hub with multiple docking mechanisms where future modules will connect. We need to not only launch Unity into the correct orbit, but also perform a rendezvous and docking maneuver with Zarya. This requires careful planning, precise execution, and a healthy dose of Kerbal awesomeness."
Missions/Secondary/ISS02/Objective,Text,,"Dock Unity, along with PMA-1 and PMA-2, to Zarya, with no crew."

Missions/Secondary/ISS02/Debrief01,Text,,"Congratulations for a perfect rendezvous and docking, Director. It’s a beautiful sight to behold, Unity connected to Zarya."
Missions/Secondary/ISS02/Debrief02,Text,,"Now, with Unity in place, we’re ready to add more modules!"
Missions/Secondary/ISS02/Debrief03,Text,,"I just hope they remembered to label the docking ports. We wouldn’t want to accidentally attach the bathroom to the science lab."
