Key,Type,Desc,English

VAB/PartsPicker/0025-Station,Text,,Station

Parts/Title/iss_pma1,Text,,PMA-1 "Rainbow"
Parts/Subtitle/iss_pma1,Text,,Pressurized Mating Adapter
Parts/Manufacturer/iss_pma1,Text,,Boeing – Huntington Beach
Parts/Description/iss_pma1,Text,,"PMA-1 is basically the space equivalent of a USB adapter, but instead of letting you connect your phone to a laptop, it lets spacecraft connect to the station. Think of it as the ultimate 'space plug-in' for cosmic commuters. Launched with the Unity module in 1998 aboard STS-88."

Parts/Title/iss_pma23,Text,,PMA-2/3 "Bullshead"
Parts/Subtitle/iss_pma23,Text,,Pressurized Mating Adapter
Parts/Manufacturer/iss_pma23,Text,,Boeing – Huntington Beach
Parts/Description/iss_pma23,Text,,"This adapter is used on the ISS to convert a CBM interface to an APAS-95 docking port. PMA-2 was launched with the Unity module in 1998 aboard STS-88. It was outfitted special hardware to allow the shuttles to stay docked longer. PMA-3 was launched in 2000 aboard STS-92."

Parts/Title/iss_apas-95,Text,,APAS-95 "Handshake"
Parts/Subtitle/iss_apas-95,Text,,Androgynous Peripheral Attach System
Parts/Manufacturer/iss_apas-95,Text,,RKK Energiya
Parts/Description/iss_apas-95,Text,,APAS-95 is an androgynous docking system used on the American and Russian modules on the ISS and to allow the Space Shuttle to dock.

Parts/Title/iss_cbm,Text,,CBM "Space Velcro"
Parts/Subtitle/iss_cbm,Text,,Common Berthing Mecanism
Parts/Manufacturer/iss_cbm,Text,,Boeing
Parts/Description/iss_cbm,Text,,"It's the ISS's secret weapon for connecting habitable modules in the US Orbital Segment. It's like the ultimate "stick-it-to-the-man" (or, in this case, the space station) solution."

Parts/Title/iss_unity,Text,,NODE-1 "Unity"
Parts/Subtitle/iss_unity,Text,,The main ISS node
Parts/Manufacturer/iss_unity,Text,,Boeing
Parts/Description/iss_unity,Text,,"Unity is the first U.S.-built component of the ISS, linking the laboratory's Russian Orbital Segment and US Orbital Segment. Unity was launched on 4 December 1998, aboard Space Shuttle Endeavour on STS-88."

Parts/Title/iss_zarya,Text,,FGB "Zarya"
Parts/Subtitle/iss_zarya,Text,,Functional Cargo Block
Parts/Manufacturer/iss_zarya,Text,,GKNPZ Khrounitchev
Parts/Description/iss_zarya,Text,,"Zarya, the original 'grandma' of the ISS, started out as the powerhouse, the brains, and the muscle of the station. But now, after years of hard work, she's basically the space version of an attic, filled with random stuff from the early days of space exploration."

Parts/Title/iss_zvezda,Text,,Zvezda
Parts/Subtitle/iss_zvezda,Text,,ISS Service Module
Parts/Manufacturer/iss_zvezda,Text,,RKK Energiya
Parts/Description/iss_zvezda,Text,,"Zvezda provides essential life support systems and offers a cozy home for two lucky kerbonauts. But don't be fooled by its laid-back exterior - Zvezda can be remotely controlled, so if it ever decides to start slacking off, the KSC can give it a virtual kick in the pants."

Parts/Title/iss_zvezda_solar_panel,Text,,SP-ZVZD "Watt's Up"
Parts/Subtitle/iss_zvezda_solar_panel,Text,,Zvezda Solar Panel
Parts/Manufacturer/iss_zvezda_solar_panel,Text,,RKK Energiya
Parts/Description/iss_zvezda_solar_panel,Text,,"Meet the solar panel that's seen more sunrises than a rooster. This retractable array is more interested in reminiscing about the glory days than tracking the sun. It's like a retired kerbonaut who's content to bask in the sunlight, occasionally muttering something about 'good old Comrade Sol'."

Parts/Title/iss_z1_truss,Text,,Z1 Truss "Zpinny"
Parts/Subtitle/iss_z1_truss,Text,,Z1 Truss Segment
Parts/Manufacturer/iss_z1_truss,Text,,Boeing
Parts/Description/iss_z1_truss,Text,,"The Z1 truss is the ISS's master of orientation, the king of control. It’s like the captain of a ship, always making sure everyone is headed in the right direction. With its gyroscopes and plasma pals, it's got the station spinning and twirling like a top, ensuring it's always facing the sun just right."

Parts/Title/iss_p6_truss,Text,,P6 Truss
Parts/Subtitle/iss_p6_truss,Text,,P6 Truss Segment
Parts/Manufacturer/iss_p6_truss,Text,,Boeing
Parts/Description/iss_p6_truss,Text,,"The P6 truss was the second truss segment to be added (after the Z1 truss) because it contains a large Solar Array Wing (SAW) that generated essential electricity for the station. It was delivered by Space Shuttle Endeavour during STS-97. It was the last human spaceflight of the 20th century."

Parts/Title/iss_eatcs_1x1,Text,,EATCS (x1)
Parts/Subtitle/iss_eatcs_1x1,Text,,External Active Thermal Control System
Parts/Manufacturer/iss_eatcs_1x1,Text,,Boeing
Parts/Description/iss_eatcs_1x1,Text,,"The ISS's a busy place, and what happens when all that activity heats things up? The station's radiators come in, space's biggest heat dump! They collect heat and reject it by use of pumped liquid state ammonia in closed-loop circuits to cool the station."

Parts/Title/iss_saw,Text,,SP-SAW "Supernovae"
Parts/Subtitle/iss_saw,Text,,Solar Array Wing
Parts/Manufacturer/iss_saw,Text,,Lockheed Martin
Parts/Description/iss_saw,Text,,"The ISS Solar Array Wings are so powerful, they could probably light up the entire galaxy if they weren't busy powering the International Space Station to keep the lights on and the coffee brewing."

Parts/Title/iss_destiny,Text,,OSL-35 "Destiny"
Parts/Subtitle/iss_destiny,Text,,Orbital research facility
Parts/Manufacturer/iss_destiny,Text,,Boeing
Parts/Description/iss_destiny,Text,,"The Destiny module is the primary operating facility for US research payloads aboard the ISS. This is where science gets a little... spacey."

Parts/Title/xxx,Text,,xxx
Parts/Subtitle/xxx,Text,,xxx
Parts/Manufacturer/xxx,Text,,xxx
Parts/Description/xxx,Text,,xxx
